<file>
<4>{0}[  135.958267] Freezing remaining freezable tasks ... (elapsed 0.01 seconds) done.
<7>{0}[  136.537615] max77665-charger max77665-charger: LATE suspend
<7>{0}[  136.537640] platform max77665-pmic: LATE suspend
<7>{0}[  136.537662] dummy 4-0048: LATE suspend
<7>{0}[  136.537685] max77665 4-0066: LATE suspend, may wakeup
<7>{0}[  136.537709] i2c i2c-4: LATE suspend
<7>{0}[  136.537731] max77686-rtc max77686-rtc: LATE suspend, may wakeup
<7>{0}[  136.537951] max77686-pmic max77686-pmic: LATE suspend
<7>{0}[  136.537975] dummy 3-0006: LATE suspend
<7>{0}[  136.537998] max77686 3-0009: LATE suspend, may wakeup
<7>{0}[  136.538021] i2c i2c-3: LATE suspend
<7>{0}[  136.538043] s5p_ddc 1-003a: LATE suspend
<7>{0}[  136.538065] i2c i2c-1: LATE suspend
<7>{0}[  136.538087] a1028_soc 0-003e: LATE suspend
<7>{0}[  136.538109] wm8994 0-001a: LATE suspend
<7>{0}[  136.538131] i2c i2c-0: LATE suspend
<7>{0}[  136.538153] bu26507-led bu26507-slope: LATE suspend
<7>{0}[  136.538177] bu26507-led bu26507-pwm: LATE suspend
<7>{0}[  136.538200] bu26507-led bu26507-led.9: LATE suspend
<7>{0}[  136.538223] bu26507-led bu26507-led.8: LATE suspend
<7>{0}[  136.538247] bu26507-led bu26507-led.7: LATE suspend
<7>{0}[  136.538270] bu26507-led bu26507-led.6: LATE suspend
<7>{0}[  136.538294] bu26507-led bu26507-led.5: LATE suspend
<7>{0}[  136.538317] bu26507-led bu26507-led.4: LATE suspend
<7>{0}[  136.538341] bu26507-led bu26507-led.3: LATE suspend
<7>{0}[  136.538364] bu26507-led bu26507-led.2: LATE suspend
<7>{0}[  136.538388] bu26507-led bu26507-led.1: LATE suspend
<7>{0}[  136.538410] bu26507-led bu26507-led.0: LATE suspend
<7>{0}[  136.538434] bu26507-led 13-0074: LATE suspend
<7>{0}[  136.538456] i2c i2c-13: LATE suspend
<7>{0}[  136.538479] gp2ap020a00f 12-0039: LATE suspend
<7>{0}[  136.538501] i2c i2c-12: LATE suspend
<7>{0}[  136.538523] l3g4200d 11-0069: LATE suspend
<7>{0}[  136.538545] i2c i2c-11: LATE suspend
<7>{0}[  136.538567] akm8975 10-000c: LATE suspend
<7>{0}[  136.538589] i2c i2c-10: LATE suspend
<7>{0}[  136.538611] lis3dh 9-0019: LATE suspend
<7>{0}[  136.538633] i2c i2c-9: LATE suspend
<7>{0}[  136.538655] s5p_mhl 8-0066: LATE suspend
<7>{0}[  136.538677] s5p_mhl 8-004b: LATE suspend
<7>{0}[  136.538699] s5p_mhl 8-003f: LATE suspend
<7>{0}[  136.538721] s5p_mhl 8-003b: LATE suspend
<7>{0}[  136.538743] i2c i2c-8: LATE suspend
<7>{0}[  136.538835] s5pv210-uart s5pv210-uart.3: LATE suspend
<7>{0}[  136.538859] s5pv210-uart s5pv210-uart.2: LATE suspend
<7>{0}[  136.538883] s5pv210-uart s5pv210-uart.1: LATE suspend
<7>{0}[  136.538907] s5pv210-uart s5pv210-uart.0: LATE suspend
<7>{0}[  136.538930] arm-pmu arm-pmu.0: LATE suspend
<7>{0}[  136.538953] s3c-pl330 s3c-pl330.2: LATE suspend
<7>{0}[  136.538976] s3c-pl330 s3c-pl330.1: LATE suspend
<7>{0}[  136.538999] s3c-pl330 s3c-pl330.0: LATE suspend
<7>{0}[  136.539022] logger logger: LATE suspend
<7>{0}[  136.539044] ram_console ram_console: LATE suspend
<7>{0}[  136.539068] m03x-battery m03x-battery: LATE suspend
<7>{0}[  136.539091] s5p-rotator s5p-rotator: LATE suspend
<7>{0}[  136.539115] s3c24xx-pwm s3c24xx-pwm.1: LATE suspend
<7>{0}[  136.539139] exynos4-tmu exynos4x12-tmu: LATE suspend
<7>{0}[  136.539162] exynos-busfreq exynos-busfreq: LATE suspend
<7>{0}[  136.539187] exynos4-ppmu exynos4-ppmu.3: LATE suspend
<7>{0}[  136.539211] exynos4-ppmu exynos4-ppmu.5: LATE suspend
<7>{0}[  136.539234] exynos4-ppmu exynos4-ppmu.4: LATE suspend
<7>{0}[  136.539258] exynos-cpufreq exynos4412-cpufreq: LATE suspend
<7>{0}[  136.539283] bt_ctr bt_ctr: LATE suspend, may wakeup
<7>{0}[  136.539307] switch-gpio switch-gpio: LATE suspend
<7>{0}[  136.539330] s5p-jpeg m03x-jpeg: LATE suspend
<7>{0}[  136.539353] ublox-gps ublox-gps: LATE suspend
<7>{0}[  136.539377] s3c-hwmon s3c-hwmon: LATE suspend
<7>{0}[  136.539400] s3c-adc exynos4412-adc: LATE suspend
<7>{0}[  136.539423] usb_detect usb_detect: LATE suspend
<7>{0}[  136.539446] exynos-sysmmu exynos-sysmmu.15: LATE suspend
<7>{0}[  136.539470] s5p-fimg2d s5p-fimg2d: LATE suspend
<7>{0}[  136.539494] s3c-usbgadget s3c-usbgadget: LATE suspend
<7>{0}[  136.539518] xmm_modem xmm_modem: LATE suspend, may wakeup
<7>{0}[  136.539542] platform s3c64xx-rtc: LATE suspend
<7>{0}[  136.539565] s3c2410-wdt s3c2410-wdt: LATE suspend
<7>{0}[  136.539588] s3c-csis s3c-csis.0: LATE suspend
<7>{0}[  136.539610] platform s5p-mfc-r: LATE suspend
<7>{0}[  136.539633] platform s5p-mfc-l: LATE suspend
<7>{0}[  136.539656] s3c-mfc s3c-mfc: LATE suspend
<7>{0}[  136.539678] s3c-fimc s3c-fimc.3: LATE suspend
<7>{0}[  136.539701] s3c-fimc s3c-fimc.2: LATE suspend
<7>{0}[  136.539723] s3c-fimc s3c-fimc.1: LATE suspend
<7>{0}[  136.539746] s3c-fimc s3c-fimc.0: LATE suspend
<7>{0}[  136.539769] s5p-tvout-hpd s5p-tvout-hpd: LATE suspend
<7>{0}[  136.539793] platform s5p-tvout-cec: LATE suspend
<7>{0}[  136.539815] s5p-tvout s5p-tvout: LATE suspend
<7>{0}[  136.539839] mx-spdif mx-spdif: LATE suspend
<7>{0}[  136.539862] samsung-spdif samsung-spdif: LATE suspend
<7>{0}[  136.539885] mx-audio mx-audio: LATE suspend
<7>{0}[  136.539908] platform samsung-audio-idma: LATE suspend
<7>{0}[  136.539932] samsung-audio samsung-audio: LATE suspend
<7>{0}[  136.539956] samsung-pcm samsung-pcm.1: LATE suspend
<7>{0}[  136.539979] samsung-i2s samsung-i2s.0: LATE suspend
<7>{0}[  136.540003] dw_mmc dw_mmc: LATE suspend
<7>{0}[  136.540084] s5p-mipi-dsim s5p-mipi-dsim.0: LATE suspend
<7>{0}[  136.540111] s3cfb s3cfb.0: LATE suspend
<7>{0}[  136.540135] reg-fixed-voltage reg-fixed-voltage.10: LATE suspend
<7>{0}[  136.540160] reg-fixed-voltage reg-fixed-voltage.9: LATE suspend
<7>{0}[  136.540185] reg-fixed-voltage reg-fixed-voltage.8: LATE suspend
<7>{0}[  136.540209] reg-fixed-voltage reg-fixed-voltage.7: LATE suspend
<7>{0}[  136.540234] reg-fixed-voltage reg-fixed-voltage.6: LATE suspend
<7>{0}[  136.540259] reg-fixed-voltage reg-fixed-voltage.5: LATE suspend
<7>{0}[  136.540284] reg-fixed-voltage reg-fixed-voltage.4: LATE suspend
<7>{0}[  136.540308] reg-fixed-voltage reg-fixed-voltage.3: LATE suspend
<7>{0}[  136.540333] reg-fixed-voltage reg-fixed-voltage.2: LATE suspend
<7>{0}[  136.540358] reg-fixed-voltage reg-fixed-voltage.1: LATE suspend
<7>{0}[  136.540382] reg-fixed-voltage reg-fixed-voltage.0: LATE suspend
<7>{0}[  136.540407] gpio-keys gpio-keys.0: LATE suspend, may wakeup
<7>{0}[  136.540432] i2c-gpio i2c-gpio.13: LATE suspend
<7>{0}[  136.540455] i2c-gpio i2c-gpio.12: LATE suspend
<7>{0}[  136.540478] i2c-gpio i2c-gpio.11: LATE suspend
<7>{0}[  136.540500] i2c-gpio i2c-gpio.10: LATE suspend
<7>{0}[  136.540523] i2c-gpio i2c-gpio.9: LATE suspend
<7>{0}[  136.540546] i2c-gpio i2c-gpio.8: LATE suspend
<7>{0}[  136.540568] s3c-i2c s3c2440-i2c.7: LATE suspend
<7>{0}[  136.540592] s3c-i2c s3c2440-i2c.6: LATE suspend
<7>{0}[  136.540616] s3c-i2c s3c2440-i2c.5: LATE suspend
<7>{0}[  136.540639] s3c-i2c s3c2440-i2c.4: LATE suspend
<7>{0}[  136.540662] s3c-i2c s3c2440-i2c.3: LATE suspend
<7>{0}[  136.540684] s3c-i2c s3c2440-i2c.1: LATE suspend
<7>{0}[  136.540708] s3c-i2c s3c2440-i2c.0: LATE suspend
<7>{0}[  136.540732] samsung-pd samsung-pd.8: LATE suspend
<7>{0}[  136.540755] samsung-pd samsung-pd.7: LATE suspend
<7>{0}[  136.540779] samsung-pd samsung-pd.6: LATE suspend
<7>{0}[  136.540802] samsung-pd samsung-pd.4: LATE suspend
<7>{0}[  136.540825] samsung-pd samsung-pd.5: LATE suspend
<7>{0}[  136.540848] samsung-pd samsung-pd.2: LATE suspend
<7>{0}[  136.540871] samsung-pd samsung-pd.1: LATE suspend
<7>{0}[  136.540894] samsung-pd samsung-pd.0: LATE suspend
<7>{0}[  136.540917] wakeup_assist wakeup_assist.0: LATE suspend
<7>{0}[  136.540942] pwm-backlight pwm-backlight: LATE suspend
<7>{0}[  136.540965] s3c24xx-pwm s3c24xx-pwm.0: LATE suspend
<7>{0}[  136.541000] platform reg-dummy: LATE suspend
<7>{0}[  136.541023] power power.0: LATE suspend
<6>{0}[  136.541043] power_suspend_late return 0
<6>{0}[  136.544025] PM: late suspend of devices complete after 10.996 msecs
<4>{0}[  136.550657] Disabling non-boot CPUs ...
<7>{0}[  136.554822] power power.0: EARLY resume
<7>{0}[  136.554854] platform reg-dummy: EARLY resume
<7>{0}[  136.554892] s3c24xx-pwm s3c24xx-pwm.0: EARLY resume
<7>{0}[  136.554918] pwm-backlight pwm-backlight: EARLY resume
<7>{0}[  136.554942] wakeup_assist wakeup_assist.0: EARLY resume
<7>{0}[  136.554967] samsung-pd samsung-pd.0: EARLY resume
<7>{0}[  136.554991] samsung-pd samsung-pd.1: EARLY resume
<7>{0}[  136.555014] samsung-pd samsung-pd.2: EARLY resume
<7>{0}[  136.555038] samsung-pd samsung-pd.5: EARLY resume
<7>{0}[  136.555061] samsung-pd samsung-pd.4: EARLY resume
<7>{0}[  136.555160] samsung-pd samsung-pd.6: EARLY resume
<7>{0}[  136.555187] samsung-pd samsung-pd.7: EARLY resume
<7>{0}[  136.555211] samsung-pd samsung-pd.8: EARLY resume
<7>{0}[  136.555235] s3c-i2c s3c2440-i2c.0: EARLY resume
<7>{0}[  136.555259] s3c-i2c s3c2440-i2c.1: EARLY resume
<7>{0}[  136.555282] s3c-i2c s3c2440-i2c.3: EARLY resume
<7>{0}[  136.555305] s3c-i2c s3c2440-i2c.4: EARLY resume
<7>{0}[  136.555328] s3c-i2c s3c2440-i2c.5: EARLY resume
<7>{0}[  136.555351] s3c-i2c s3c2440-i2c.6: EARLY resume
<7>{0}[  136.555374] s3c-i2c s3c2440-i2c.7: EARLY resume
<7>{0}[  136.555398] i2c-gpio i2c-gpio.8: EARLY resume
<7>{0}[  136.555421] i2c-gpio i2c-gpio.9: EARLY resume
<7>{0}[  136.555443] i2c-gpio i2c-gpio.10: EARLY resume
<7>{0}[  136.555466] i2c-gpio i2c-gpio.11: EARLY resume
<7>{0}[  136.555489] i2c-gpio i2c-gpio.12: EARLY resume
<7>{0}[  136.555511] i2c-gpio i2c-gpio.13: EARLY resume
<7>{0}[  136.555534] gpio-keys gpio-keys.0: EARLY resume
<7>{0}[  136.555559] reg-fixed-voltage reg-fixed-voltage.0: EARLY resume
<7>{0}[  136.555584] reg-fixed-voltage reg-fixed-voltage.1: EARLY resume
<7>{0}[  136.555609] reg-fixed-voltage reg-fixed-voltage.2: EARLY resume
<7>{0}[  136.555633] reg-fixed-voltage reg-fixed-voltage.3: EARLY resume
<7>{0}[  136.555658] reg-fixed-voltage reg-fixed-voltage.4: EARLY resume
<7>{0}[  136.555683] reg-fixed-voltage reg-fixed-voltage.5: EARLY resume
<7>{0}[  136.555707] reg-fixed-voltage reg-fixed-voltage.6: EARLY resume
<7>{0}[  136.555732] reg-fixed-voltage reg-fixed-voltage.7: EARLY resume
<7>{0}[  136.555757] reg-fixed-voltage reg-fixed-voltage.8: EARLY resume
<7>{0}[  136.555781] reg-fixed-voltage reg-fixed-voltage.9: EARLY resume
<7>{0}[  136.555806] reg-fixed-voltage reg-fixed-voltage.10: EARLY resume
<7>{0}[  136.555831] s3cfb s3cfb.0: EARLY resume
<7>{0}[  136.555854] s5p-mipi-dsim s5p-mipi-dsim.0: EARLY resume
<7>{0}[  136.555879] dw_mmc dw_mmc: EARLY resume
<7>{0}[  136.555902] samsung-i2s samsung-i2s.0: EARLY resume
<7>{0}[  136.555926] samsung-pcm samsung-pcm.1: EARLY resume
<7>{0}[  136.555950] samsung-audio samsung-audio: EARLY resume
<7>{0}[  136.555974] platform samsung-audio-idma: EARLY resume
<7>{0}[  136.555997] mx-audio mx-audio: EARLY resume
<7>{0}[  136.556021] samsung-spdif samsung-spdif: EARLY resume
<7>{0}[  136.556044] mx-spdif mx-spdif: EARLY resume
<7>{0}[  136.556067] s5p-tvout s5p-tvout: EARLY resume
<7>{0}[  136.556091] platform s5p-tvout-cec: EARLY resume
<7>{0}[  136.556114] s5p-tvout-hpd s5p-tvout-hpd: EARLY resume
<7>{0}[  136.556138] s3c-fimc s3c-fimc.0: EARLY resume
<7>{0}[  136.556161] s3c-fimc s3c-fimc.1: EARLY resume
<7>{0}[  136.556184] s3c-fimc s3c-fimc.2: EARLY resume
<7>{0}[  136.556207] s3c-fimc s3c-fimc.3: EARLY resume
<7>{0}[  136.556230] s3c-mfc s3c-mfc: EARLY resume
<7>{0}[  136.556253] platform s5p-mfc-l: EARLY resume
<7>{0}[  136.556276] platform s5p-mfc-r: EARLY resume
<7>{0}[  136.556299] s3c-csis s3c-csis.0: EARLY resume
<7>{0}[  136.556322] s3c2410-wdt s3c2410-wdt: EARLY resume
<7>{0}[  136.556346] platform s3c64xx-rtc: EARLY resume
<7>{0}[  136.556369] xmm_modem xmm_modem: EARLY resume
<7>{0}[  136.556393] s3c-usbgadget s3c-usbgadget: EARLY resume
<7>{0}[  136.556417] s5p-fimg2d s5p-fimg2d: EARLY resume
<7>{0}[  136.556440] exynos-sysmmu exynos-sysmmu.15: EARLY resume
<7>{0}[  136.556465] usb_detect usb_detect: EARLY resume
<7>{0}[  136.556489] s3c-adc exynos4412-adc: EARLY resume
<7>{0}[  136.556513] s3c-hwmon s3c-hwmon: EARLY resume
<7>{0}[  136.556536] ublox-gps ublox-gps: EARLY resume
<7>{0}[  136.556559] s5p-jpeg m03x-jpeg: EARLY resume
<7>{0}[  136.556583] switch-gpio switch-gpio: EARLY resume
<7>{0}[  136.556606] bt_ctr bt_ctr: EARLY resume
<7>{0}[  136.556629] exynos-cpufreq exynos4412-cpufreq: EARLY resume
<7>{0}[  136.556654] exynos4-ppmu exynos4-ppmu.4: EARLY resume
<7>{0}[  136.556678] exynos4-ppmu exynos4-ppmu.5: EARLY resume
<7>{0}[  136.556701] exynos4-ppmu exynos4-ppmu.3: EARLY resume
<7>{0}[  136.556725] exynos-busfreq exynos-busfreq: EARLY resume
<7>{0}[  136.556749] exynos4-tmu exynos4x12-tmu: EARLY resume
<7>{0}[  136.556773] s3c24xx-pwm s3c24xx-pwm.1: EARLY resume
<7>{0}[  136.556797] s5p-rotator s5p-rotator: EARLY resume
<7>{0}[  136.556820] m03x-battery m03x-battery: EARLY resume
<7>{0}[  136.556845] ram_console ram_console: EARLY resume
<7>{0}[  136.556868] logger logger: EARLY resume
<7>{0}[  136.556891] s3c-pl330 s3c-pl330.0: EARLY resume
<7>{0}[  136.556914] s3c-pl330 s3c-pl330.1: EARLY resume
<7>{0}[  136.556937] s3c-pl330 s3c-pl330.2: EARLY resume
<7>{0}[  136.556960] arm-pmu arm-pmu.0: EARLY resume
<7>{0}[  136.556984] s5pv210-uart s5pv210-uart.0: EARLY resume
<7>{0}[  136.557007] s5pv210-uart s5pv210-uart.1: EARLY resume
<7>{0}[  136.557031] s5pv210-uart s5pv210-uart.2: EARLY resume
<7>{0}[  136.557054] s5pv210-uart s5pv210-uart.3: EARLY resume
<7>{0}[  136.557154] i2c i2c-8: EARLY resume
<7>{0}[  136.557176] s5p_mhl 8-003b: EARLY resume
<7>{0}[  136.557198] s5p_mhl 8-003f: EARLY resume
<7>{0}[  136.557220] s5p_mhl 8-004b: EARLY resume
<7>{0}[  136.557242] s5p_mhl 8-0066: EARLY resume
<7>{0}[  136.557265] i2c i2c-9: EARLY resume
<7>{0}[  136.557287] lis3dh 9-0019: EARLY resume
<7>{0}[  136.557308] i2c i2c-10: EARLY resume
<7>{0}[  136.557330] akm8975 10-000c: EARLY resume
<7>{0}[  136.557352] i2c i2c-11: EARLY resume
<7>{0}[  136.557374] l3g4200d 11-0069: EARLY resume
<7>{0}[  136.557396] i2c i2c-12: EARLY resume
<7>{0}[  136.557418] gp2ap020a00f 12-0039: EARLY resume
<7>{0}[  136.557441] i2c i2c-13: EARLY resume
<7>{0}[  136.557463] bu26507-led 13-0074: EARLY resume
<7>{0}[  136.557486] bu26507-led bu26507-led.0: EARLY resume
<7>{0}[  136.557510] bu26507-led bu26507-led.1: EARLY resume
<7>{0}[  136.557534] bu26507-led bu26507-led.2: EARLY resume
<7>{0}[  136.557557] bu26507-led bu26507-led.3: EARLY resume
<7>{0}[  136.557581] bu26507-led bu26507-led.4: EARLY resume
<7>{0}[  136.557604] bu26507-led bu26507-led.5: EARLY resume
<7>{0}[  136.557628] bu26507-led bu26507-led.6: EARLY resume
<7>{0}[  136.557651] bu26507-led bu26507-led.7: EARLY resume
<7>{0}[  136.557675] bu26507-led bu26507-led.8: EARLY resume
<7>{0}[  136.557698] bu26507-led bu26507-led.9: EARLY resume
<7>{0}[  136.557722] bu26507-led bu26507-pwm: EARLY resume
<7>{0}[  136.557745] bu26507-led bu26507-slope: EARLY resume
<7>{0}[  136.557769] i2c i2c-0: EARLY resume
<7>{0}[  136.557791] wm8994 0-001a: EARLY resume
<7>{0}[  136.557813] a1028_soc 0-003e: EARLY resume
<7>{0}[  136.557836] i2c i2c-1: EARLY resume
<7>{0}[  136.557858] s5p_ddc 1-003a: EARLY resume
<7>{0}[  136.557880] i2c i2c-3: EARLY resume
<7>{0}[  136.557902] max77686 3-0009: EARLY resume
<7>{0}[  136.557924] dummy 3-0006: EARLY resume
<7>{0}[  136.557947] max77686-pmic max77686-pmic: EARLY resume
<7>{0}[  136.558180] max77686-rtc max77686-rtc: EARLY resume
<7>{0}[  136.558204] i2c i2c-4: EARLY resume
<7>{0}[  136.558226] max77665 4-0066: EARLY resume
<7>{0}[  136.558248] dummy 4-0048: EARLY resume
<7>{0}[  136.558270] platform max77665-pmic: EARLY resume
<7>{0}[  136.558294] max77665-charger max77665-charger: EARLY resume
<7>{0}[  136.558319] max77665-haptic max77665-haptic: EARLY resume
<7>{0}[  136.558344] torch-led torch-led: EARLY resume
<7>{0}[  136.558367] max77665-safeout max77665-safeout: EARLY resume
<7>{0}[  136.558427] i2c i2c-5: EARLY resume
<7>{0}[  136.558449] bq27541 5-0055: EARLY resume
<7>{0}[  136.558471] i2c i2c-6: EARLY resume
<7>{0}[  136.558493] atmel_mxt_ts 6-004a: EARLY resume
<7>{0}[  136.558515] i2c i2c-7: EARLY resume
<7>{0}[  136.558537] M6MO 7-001f: EARLY resume
<7>{0}[  136.558559] ov7690 7-0021: EARLY resume
<7>{0}[  136.559049] input input0: EARLY type resume
<7>{0}[  136.559078] s3c-sdhci s3c-sdhci.3: EARLY resume
<7>{0}[  136.559102] bcm4329_wlan bcm4329_wlan: EARLY resume
<7>{0}[  136.559217] mali_dev mali_dev.0: EARLY resume
<7>{0}[  136.559523] input input1: EARLY type resume
<7>{0}[  136.559552] input input2: EARLY type resume
<7>{0}[  136.559580] input input3: EARLY type resume
<7>{0}[  136.559614] input input4: EARLY type resume
<7>{0}[  136.559638] wm8994-ldo wm8994-ldo.0: EARLY resume
<7>{0}[  136.559668] wm8994-ldo wm8994-ldo.1: EARLY resume
<7>{0}[  136.559697] wm8994-codec wm8994-codec: EARLY resume
<7>{0}[  136.559721] platform wm8994-gpio: EARLY resume
<7>{0}[  136.559750] s5p-ehci s5p-ehci: EARLY resume
<7>{0}[  136.559900] input input5: EARLY type resume
<7>{0}[  136.559929] input input6: EARLY type resume
<7>{0}[  136.559958] input input7: EARLY type resume
<7>{0}[  136.560010] alarm alarm: EARLY resume
<7>{0}[  136.560397] snd-soc-dummy snd-soc-dummy: EARLY resume
<7>{0}[  136.560424] samsung-i2s samsung-i2s.4: EARLY resume
<7>{0}[  136.560449] soc-audio soc-audio.0: EARLY resume
<7>{0}[  136.560519] spdif-dit spdif-dit: EARLY resume
<7>{0}[  136.560542] soc-audio soc-audio.1: EARLY resume
<7>{0}[  136.560567] mmcblk mmc0:0001: EARLY resume
<7>{0}[  136.560825] input input8: EARLY type resume
<7>{0}[  136.560854] usb usb1: EARLY type resume
<7>{0}[  136.560901] usb 1-2: EARLY type resume
<6>{0}[  136.561064] PM: early resume of devices complete after 6.266 msecs
<6>{0}[  136.567922] max77686_irq_unmask: group=2, cur=0xf9
<6>{0}[  136.571821] max77686_irq_unmask: group=2, cur=0xf9
<7>{0}[  136.577071] max77686_reg_enable: id=37, reg=7f, mask=4, pattern=4
<7>{0}[  136.577300] max77686_reg_enable: id=25, reg=59, mask=c0, pattern=80
<7>{0}[  136.577382] max77686_reg_enable: id=24, reg=58, mask=c0, pattern=80
<7>{0}[  136.577480] max77686_reg_enable: id=19, reg=53, mask=c0, pattern=80
<7>{0}[  136.577565] max77686_reg_enable: id=17, reg=51, mask=c0, pattern=c0
<7>{0}[  136.577670] max77686_reg_enable: id=11, reg=4b, mask=c0, pattern=80
<7>{0}[  136.577785] max77686_reg_enable: id=13, reg=4d, mask=c0, pattern=80
<7>{0}[  136.577865] max77686_reg_enable: id=10, reg=4a, mask=c0, pattern=80
<7>{0}[  136.577943] max77686_reg_enable: id=6, reg=46, mask=c0, pattern=40
<7>{0}[  136.578021] max77686_reg_enable: id=5, reg=45, mask=c0, pattern=40
<7>{0}[  136.578100] max77686_reg_enable: id=3, reg=43, mask=c0, pattern=80
<7>{0}[  136.578179] max77686_reg_enable: id=2, reg=42, mask=c0, pattern=c0
<7>{0}[  136.578257] max77686_reg_enable: id=1, reg=41, mask=c0, pattern=40
<7>{0}[  136.578335] max77686_reg_enable: id=0, reg=40, mask=c0, pattern=c0
<7>{0}[  136.578414] max77686_reg_enable: id=33, reg=36, mask=3, pattern=1
<7>{0}[  136.578492] max77686_reg_enable: id=32, reg=34, mask=3, pattern=3
<7>{0}[  136.578570] max77686_reg_enable: id=31, reg=32, mask=3, pattern=3
<7>{0}[  136.578648] max77686_reg_enable: id=30, reg=30, mask=3, pattern=3
<7>{0}[  136.578726] max77686_reg_enable: id=29, reg=26, mask=30, pattern=10
<7>{0}[  136.578804] max77686_reg_enable: id=28, reg=1c, mask=30, pattern=10
<7>{0}[  136.578883] max77686_reg_enable: id=27, reg=12, mask=30, pattern=10
<7>{0}[  136.578961] max77686_reg_enable: id=26, reg=10, mask=3, pattern=1
<7>{0}[  136.581643] dw_mmc dw_mmc: resume
<6>{0}[  136.581755] exynos4_setup_mshci_set_power : internal MMC Card ON samsung-mshc.
<7>{0}[  136.588195] power power.0: resume
<7>{0}[  136.588230] platform reg-dummy: resume
<7>{0}[  136.588290] s3c24xx-pwm s3c24xx-pwm.0: resume
<7>{0}[  136.588378] pwm-backlight pwm-backlight: resume
<7>{0}[  136.588410] wakeup_assist wakeup_assist.0: resume
<6>{0}[  136.589256] wakeup wake lock: event0-1778
<6>{0}[  136.592639] M03X Wakeup By: BLUETOOTH_WAKE KEY_HOME_WAKE
<6>{0}[  136.598696] mmc0: FIFO WMARK FOR RX 0x80 WX 0x40. ###########
<7>{0}[  136.604492] samsung-pd samsung-pd.0: resume
<7>{0}[  136.604530] samsung-pd samsung-pd.1: resume
<7>{0}[  136.604563] samsung-pd samsung-pd.2: resume
<7>{0}[  136.604595] samsung-pd samsung-pd.5: resume
<7>{0}[  136.604628] samsung-pd samsung-pd.4: resume
<7>{0}[  136.604660] samsung-pd samsung-pd.6: resume
<7>{0}[  136.604691] samsung-pd samsung-pd.7: resume
<7>{0}[  136.604723] samsung-pd samsung-pd.8: resume
<7>{0}[  136.604755] s3c-i2c s3c2440-i2c.0: resume
<7>{0}[  136.604856] s3c-i2c s3c2440-i2c.1: resume
<7>{0}[  136.604953] s3c-i2c s3c2440-i2c.3: resume
<7>{0}[  136.605048] s3c-i2c s3c2440-i2c.4: resume
<7>{0}[  136.605202] s3c-i2c s3c2440-i2c.5: resume
<7>{0}[  136.605301] s3c-i2c s3c2440-i2c.6: resume
<7>{0}[  136.605397] s3c-i2c s3c2440-i2c.7: resume
<7>{0}[  136.605492] i2c-gpio i2c-gpio.8: resume
<7>{0}[  136.605525] i2c-gpio i2c-gpio.9: resume
<7>{0}[  136.605556] i2c-gpio i2c-gpio.10: resume
<7>{0}[  136.605586] i2c-gpio i2c-gpio.11: resume
<7>{0}[  136.605618] i2c-gpio i2c-gpio.12: resume
<7>{0}[  136.605649] i2c-gpio i2c-gpio.13: resume
<7>{0}[  136.605680] gpio-keys gpio-keys.0: resume
<7>{0}[  136.605702] wake disabled for irq 352
<7>{0}[  136.605734] wake disabled for irq 354
<7>{0}[  136.605794] reg-fixed-voltage reg-fixed-voltage.0: resume
<7>{0}[  136.605827] reg-fixed-voltage reg-fixed-voltage.1: resume
<7>{0}[  136.605859] reg-fixed-voltage reg-fixed-voltage.2: resume
<7>{0}[  136.605892] reg-fixed-voltage reg-fixed-voltage.3: resume
<7>{0}[  136.605925] reg-fixed-voltage reg-fixed-voltage.4: resume
<7>{0}[  136.605958] reg-fixed-voltage reg-fixed-voltage.5: resume
<7>{0}[  136.605990] reg-fixed-voltage reg-fixed-voltage.6: resume
<7>{0}[  136.606023] reg-fixed-voltage reg-fixed-voltage.7: resume
<7>{0}[  136.606056] reg-fixed-voltage reg-fixed-voltage.8: resume
<7>{0}[  136.606088] reg-fixed-voltage reg-fixed-voltage.9: resume
<7>{0}[  136.606121] reg-fixed-voltage reg-fixed-voltage.10: resume
<7>{0}[  136.606153] s3cfb s3cfb.0: resume
<7>{0}[  136.606184] s5p-mipi-dsim s5p-mipi-dsim.0: resume
<7>{0}[  136.606216] samsung-i2s samsung-i2s.0: resume
<7>{0}[  136.606248] samsung-pcm samsung-pcm.1: resume
<7>{0}[  136.606280] samsung-audio samsung-audio: resume
<7>{0}[  136.606312] platform samsung-audio-idma: resume
<7>{0}[  136.606343] mx-audio mx-audio: resume
<7>{0}[  136.606374] samsung-spdif samsung-spdif: resume
<7>{0}[  136.606405] mx-spdif mx-spdif: resume
<7>{0}[  136.606436] s5p-tvout s5p-tvout: resume
<7>{0}[  136.606474] platform s5p-tvout-cec: resume
<7>{0}[  136.606506] s5p-tvout-hpd s5p-tvout-hpd: resume
<7>{0}[  136.606539] s3c-fimc s3c-fimc.0: resume
<7>{0}[  136.606572] s3c-fimc s3c-fimc.1: resume
<7>{0}[  136.606603] s3c-fimc s3c-fimc.2: resume
<7>{0}[  136.606634] s3c-fimc s3c-fimc.3: resume
<7>{0}[  136.606752] s3c-mfc s3c-mfc: resume
<7>{0}[  136.606785] platform s5p-mfc-l: resume
<7>{0}[  136.606816] platform s5p-mfc-r: resume
<7>{0}[  136.606847] s3c-csis s3c-csis.0: resume
<7>{0}[  136.606879] s3c2410-wdt s3c2410-wdt: resume
